"name","Class","Description"
"YBR217W","F","APG12 component of the autophagic system"
"YER170W","M","ADK2 adenylate kinase, mitochondrial"
"YGL134W","M","PCL10 cyclin like protein interacting with PHO85P"
"YHR168W","U","YHR168w similarity to GTP-binding proteins"
"YHR113W","F","YHR113w similarity to vacuolar aminopeptidase Ape1p"
"YNL137C","P","NAM9 ribosomal protein, mitochondrial"
"YPL081W","P","RPS9A ribosomal protein S9.e.A"
"YBR176W","C","ECM31 involved in cell wall biogenesis and architecture"
"Q0250","E","COX2 cytochrome-c oxidase subunit II"
"YML049C","O","RSE1 involved in RNA splicing and ER to Golgi transport"
"YDR454C","M","GUK1 guanylate kinase"
"YGR136W","C","LSB1 weak similarity to chicken growth factor receptor-binding protein GRB2 homolog"
"YIL103W","U","YIL103w weak similarity to DPH2 protein"
"YLR052W","U","IES3 hypothetical protein"
"YLR019W","F","PSR2 plasma membrane phosphatase required for sodium stress response"
"YGL036W","U","MTC2 similarity to EDE1P"
"YPR088C","F","SRP54 signal recognition particle subunit"
"YLR417W","F","VPS36 defective in vacuolar protein sorting"
"YNR007C","F","AUT1 essential for autophagocytosis"
"YMR054W","A","STV1 H+-ATPase V0 domain 102 KD subunit, not vacuolar"
"YJL199C","U","YJL199c hypothetical protein"
"YJR102C","U","VPS25 weak similarity to hypothetical protein D. melanogaster"
"YDR446W","C","ECM11 involved in cell wall biogenesis and architecture"
"YKL059C","U","YKL059c similarity to C.elegans hypothetical protein"
"YDR488C","O","PAC11 required in the absence of CIN8P"
"YPL017C","M","YPL017c strong similarity to LPD1P and other dihydrolipoamide dehydrogenases"
"YMR124W","U","YMR124w weak similarity to YLR031w"
"YDR016C","U","DAD1 hypothetical protein"
"YOL023W","P","IFM1 translation initiation factor 2, mitochondrial"
"YAR015W","M","ADE1 phosphoribosylamidoimidazole-succinocarboxamide synthase"
"YER133W","C","GLC7 ser/thr phosphoprotein phosphatase 1, catalytic chain"
"YLR295C","E","ATP14 F1F0-ATPase complex, subunit h"
"YNL022C","U","YNL022c weak similarity to C.burnetii FMU protein"
"YBL013W","T","FMT1 Methionyl-tRNA Transformylase"
"YNR057C","M","BIO4 putative dethiobiotin synthetase"
"YDR064W","P","RPS13 ribosomal protein"
"YJR094C","B","IME1 transcription factor required for sporulation"
"YOL069W","D","NUF2 spindle pole body protein"
"YER095W","D","RAD51 DNA repair protein"
"YDR062W","M","LCB2 serine C-palmitoyltransferase subunit"
"YPR060C","G","ARO7 chorismate mutase"
"YGR144W","D","THI4 involved in thiamine biosynthesis and DNA repair"
"YDL084W","T","SUB2 probably involved in pre-mRNA splicing"
"YOR278W","M","HEM4 uroporphyrinogen III synthase"
"YBR228W","U","SLX1 similarity to hypothetical A.thaliana protein"
"YML009C","P","MRPL39 60S ribosomal protein, mitochondrial"
"YPR083W","U","YPR083w hypothetical protein"
"YGL205W","E","POX1 acyl-CoA oxidase"
"YGL211W","U","YGL211w similarity to M.jannaschii hypothetical proteins MJ1157 and MJ1478"
"YJL072C","U","YJL072c similarity to PIR:T40665 hypothetical protein SPBC725.13c S. pombe"
"YHR034C","U","YHR034c weak similarity to TRCDSEMBL:AK000650_1 unnamed ORF;  Homo sapiens"
"YDR270W","A","CCC2 probable copper-transporting ATPase"
"YKL052C","U","ASK1 similarity to hypothetical protein S.pombe"
"YOR065W","E","CYT1 cytochrome-c1"
"YIR016W","U","YIR016w weak similarity to YOL036w"
"YGL040C","M","HEM2 porphobilinogen synthase"
"YNL086W","U","YNL086w hypothetical protein"
"YMR153W","O","NUP53 component of the karyopherin docking complex of the nuclear pore complex"
"YOR361C","P","PRT1 translation initiation factor eIF3 subunit"
"YOR034C","O","AKR2 involved in constitutive endocytosis of STE3P"
"YPL133C","T","YPL133c weak similarity to transcription factors"
"YBR227C","F","MCX1 similarity to E.coli ATP-binding protein clpX"
"YOR308C","T","SNU66 component of U4/U6.U5 snRNP"
"YER042W","R","MXR1 responsible for the reduction of methionine sulfoxide"
"YDL045C","M","FAD1 flavin adenine dinucleotide (FAD) synthetase"
"YPR024W","F","YME1 protease of the SEC18/CDC48/PAS1 family of ATPases (AAA)"
"YNL259C","A","ATX1 antioxidant protein and metal homeostasis factor"
"YMR204C","U","YMR204c weak similarity to D.melanogaster hypothetical protein DMC39E1"
"YBR295W","A","PCA1 P-type Cu2+-transporting ATPase"
"YGL192W","B","IME4 positive transcription factor for IME2"
"YJR091C","D","JSN1 suppresses the high-temperature lethality of TUB2-150"
"YER017C","F","AFG3 protease of the SEC18/CDC48/PAS1 family of ATPases (AAA)"
"YOL066C","M","RIB2 DRAP deaminase"
"YLR231C","M","YLR231c strong similarity to rat kynureninase"
"YDR277C","M","MTH1 repressor of hexose transport genes"
"YPR026W","M","ATH1 acid trehalase, vacuolar"
"YPL234C","O","TFP3 H+-ATPase V0 domain 17 KD subunit, vacuolar"
"YEL066W","D","HPA3 histone and other protein acetyltransferase"
"YDR453C","R","YDR453c strong similarity to thiol-specific antioxidant proteins"
"YGR210C","U","YGR210c similarity to M.jannaschii GTP-binding protein and to M.capricolum hypothetical protein SGC3"
"YBR084C-A","P","RPL19A 60S large subunit ribosomal protein L19.e"
"YNL162W","P","RPL42A ribosomal protein L36a.e"
"YLR284C","M","ECI1 delta3-cis-delta2-trans-enoyl-CoA isomerase"
"YBL092W","P","RPL32 60S large subunit ribosomal protein L32.e"
"YNL122C","U","YNL122c hypothetical protein"
"YKR001C","F","VPS1 member of the dynamin family of GTPases"
"YOL120C","P","RPL18A 60S large subunit ribosomal protein S18.e"
"YGR214W","P","RPS0A 40S ribosomal protein p40 homolog A"
"YMR024W","P","MRPL3 ribosomal protein of the large subunit, mitochondrial"
"YLR377C","E","FBP1 fructose-1,6-bisphosphatase"
"YDL235C","A","YPD1 phosphorelay intermediate between SLN1P and SSK1P"
"YMR143W","P","RPS16A ribosomal protein S16.e"
"YMR262W","D","YMR262w similarity to S.pombe scn1 protein"
"YPL028W","M","ERG10 acetyl-CoA C-acetyltransferase, cytosolic"
"YMR150C","F","IMP1 protease, mitochondrial"
"YHR141C","P","RPL42B ribosomal protein L36a.e"
"YDL089W","U","YDL089w weak similarity to hypothetical protein S. pombe"
"YGR223C","U","YGR223c weak similarity to hypothetical protein YFR021w"
"YCL020W",NA,NA
"YNL069C","P","RPL16B 60S large subunit ribosomal protein"
"YPR067W","A","ISA2 mitochondrial protein required for iron metabolism"
"YHR025W","G","THR1 homoserine kinase"
"YIR022W","F","SEC11 signal sequence processing protein"
"YLR048W","P","RPS0B 40S ribosomal protein p40 homolog B"
"YLR287C","U","YLR287c weak similarity to S.pombe hypothetical protein SPAC22E12"
"YBR029C","M","CDS1 CDP-diacylglycerol synthase"
"YHL032C","M","GUT1 glycerol kinase"
"YDR201W",NA,NA
"YOR285W","F","YOR285w similarity to D.melanogaster heat shock protein 67B2"
"YML126C","M","ERG13 3-hydroxy-3-methylglutaryl coenzyme A synthase"
"YBR137W","U","YBR137w similarity to hypothetical protein Streptomyces coelicolor"
"YPL214C","M","THI6 thiamin-phosphate pyrophosphorylase and hydroxyethylthiazole kinase"
"YHR189W","P","YHR189w similarity to peptidyl-tRNA hydrolases"
"YIL053W","M","RHR2 DL-glycerol phosphatase"
"YDL168W","M","SFA1 long-chain alcohol dehydrogenase"
"YOR108W","G","YOR108w strong similarity to LEU4P"
"YER141W","E","COX15 cytochrome oxidase assembly factor"
"YDL083C","P","RPS16B ribosomal protein S16.e"
"YBR270C","U","YBR270c strong similarity to hypothetical protein YJL058c"
"YBR198C","B","TAF90 TFIID and SAGA subunit"
"YKL012W","T","PRP40 splicing factor"
"YBL006C","U","YBL006c hypothetical protein"
"YBL055C","U","YBL055c similarity to hypothetical S.pombe protein"
"YIL145C","M","PAN6 protein required for synthesis of pantothenic acid"
"YNL026W","U","YNL026w similarity to S.pombe hypothetical protein"
"YBR077C","U","YBR077c hypothetical protein"
"YHR185C","C","PFS1 similarity to S. pombe TEA1P"
"YLR147C","T","SMD3 spliceosomal snRNA-associated Sm core protein required for pre-mRNA splicing"
"YHR044C","M","DOG1 2-deoxyglucose-6-phosphate phosphatase"
"YOL055C","M","THI20 hydroxymethylpyrimidine phosphate (HMP-P) kinase"
"YIL133C","P","RPL16A 60S large subunit ribosomal protein"
"YHR043C","M","DOG2 2-deoxyglucose-6-phosphate phosphatase"
"YDR520C","U","YDR520c weak similarity to transcription factors of the zinc finger class"
"YGR165W","U","YGR165w similarity to PIR:T39444 hypothetical protein SPBC14C8.16c S. pombe"
"YHL014C","U","YLF2 similarity to E.coli GTP-binding protein"
"YHR129C","O","ARP1 centractin"
"YNL292W","T","PUS4 pseudouridine synthase"
"YDL182W","G","LYS20 homocitrate synthase"
"YIL160C","E","POT1 acetyl-CoA C-acyltransferase, peroxisomal"
"YER055C","G","HIS1 ATP phosphoribosyltransferase"
"YOR196C","M","LIP5 lipoic acid synthase"
"YDR264C","A","AKR1 ankyrin repeat-containing protein"
"YJR145C","P","RPS4A ribosomal protein S4.e.c10"
"YBL027W","P","RPL19B 60S large subunit ribosomal protein L19.e"
"YGR019W","G","UGA1 4-aminobutyrate aminotransferase (GABA transaminase)"
"YGR286C","M","BIO2 biotin synthetase"
"YBR257W","T","POP4 involved in processing of tRNAs and rRNAs"
"YGR119C","O","NUP57 nuclear pore protein"
"YNR074C","U","YNR074c weak similarity to B.subtilis nitrite reductase (nirB)"
"YDR283C","P","GCN2 ser/thr protein kinase"
"YPR002W","U","PDH1 similarity to B.subtilis mmgE protein"
"YAL054C","E","ACS1 acetyl-CoA synthetase"
"YDL065C",NA,NA
"YGL059W","U","YGL059w similarity to rat branched-chain alpha-ketoacid dehydrogenase kinase"
"YNL256W","M","FOL1 Dihydroneopterin aldolase, dihydro-6-hydroxymethylpterin pyrophosphokinase, dihydropteroate synthetase"
"YKL038W","B","RGT1 regulator of glucose-induced genes"
"YLL027W","A","ISA1 mitochondrial protein required for normal iron metabolism"
"YLR244C","F","MAP1 methionine aminopeptidase, isoform 1"
"YNL331C","M","AAD14 strong similarity aryl-alcohol reductase"
"YPR001W","E","CIT3 citrate (si)-synthase, mitochondrial"
"YGL015C","U","YGL015c hypothetical protein"
"YPR193C","F","HPA2 Histone and other Protein Acetyltransferase"
"YGR148C","P","RPL24B 60S large subunit ribosomal protein L24.e.B"
"YOR275C","U","YOR275c similarity to A.nidulans palA protein"
"YNL020C","C","ARK1 Actin Regulating Kinase"
"YGL079W","U","YGL079w hypothetical protein"
"YGL161C","U","YGL161c weak similarity to TRCDSEMBL:HS167A19_1  dJ167A19.1 human"
"YAL038W","E","CDC19 pyruvate kinase"
"YOR119C","U","RIO1 similarity to a C.elegans ZK632.3 protein"
"YDL087C","T","LUC7 yeast U1 snRNP protein with a role in 5' splice site recognition"
"YNR001C","E","CIT1 citrate (si)-synthase, mitochondrial"
"YGR004W","U","YGR004w strong similarity to hypothetical protein YLR324w"
"YGR118W","P","RPS23A 40S small subunit ribosomal protein S23.e"
"YPR028W","O","YIP2 Ypt-interacting protein"
"YER154W","F","OXA1 cytochrome oxidase biogenesis protein"
"YML046W","T","PRP39 pre-mRNA splicing factor"
"YIL042C","G","YIL042c similarity to rat branched-chain alpha-ketoacid dehydrogenase kinase"
"YPR033C","P","HTS1 histidine--tRNA ligase, mitochondrial"
"YCR087C-A","T","YCR087c-a similarity to S. pombe SPBC215.06c putative nucleic acid-binding protein"
"YKR007W","U","YKR007w weak similarity to Streptococcus protein M5 precursor"
"YGL031C","P","RPL24A 60S large subunit ribosomal protein L24.e.A"
"YNR058W","M","BIO3 DAPA aminotransferase"
"YGR172C","O","YIP1 golgi membrane protein"
"YBL091C","F","MAP2 methionine aminopeptidase, isoform 2"
"YDL112W","T","TRM3 tRNA (guanosine-2'-O-)-methyltransferase"
"YDR229W","U","YDR229w similarity to hypothetical protein N. crassa"
"YLR264W","P","RPS28B 40S small subunit ribosomal protein S28.e.c12"
"YML008C","M","ERG6 S-adenosyl-methionine delta-24-sterol-c-methyltransferase"
"Q0275","E","COX3 cytochrome-c oxidase chain III"
"YLR049C","U","YLR049c hypothetical protein"
"YCR014C","D","POL4 DNA polymerase"
"YLR028C","M","ADE16 5-aminoimidazole-4-carboxamide ribotide transformylase"
"YDR060W","P","MAK21 protein required for 60S ribosomal subunit biogenesis"
"YDL203C","M","YDL203c similarity to SKT5P"
"YLR406C","P","RPL31B 60S large subunit ribosomal protein L31.e.c12"
"YCL040W","M","GLK1 aldohexose specific glucokinase"
"YPL077C","U","YPL077c weak similarity to YBR197c"
"YOR102W","U","YOR102w questionable ORF"
"YDR047W","M","HEM12 uroporphyrinogen decarboxylase"
"YLR211C","U","YLR211c hypothetical protein"
"YDR086C","F","SSS1 ER protein-translocase complex subunit"
"YCL019W",NA,NA
"YMR300C","M","ADE4 amidophosphoribosyltransferase"
"YLR345W","E","YLR345w similarity to PFK26P and other 6-phosphofructo-2-kinases"
"YOR201C","T","PET56 rRNA (guanosine-2'-O-)-methyltransferase"
"YJL218W","M","YJL218w strong similarity to E.coli galactoside O-acetyltransferase"
"YLR362W","C","STE11 ser/thr protein kinase of the MEKK family"
"YPL213W","T","LEA1 U2 A' snRNP protein"
"YOR236W","M","DFR1 dihydrofolate reductase"
"YML056C","M","IMD4 strong similarity to IMP dehydrogenases"
"YML110C","M","COQ5 ubiquinone biosynthesis, methyltransferase"
"YPL088W","M","YPL088w similarity to aryl-alcohol dehydrogenases"
"YHL016C","A","DUR3 urea transport protein"
"YCR009C","O","RVS161 similarity to human amphiphysin and RVS167P"
"YNR053C","U","NOG2 strong similarity to human breast tumor associated autoantigen"
"YKL216W","M","URA1 dihydroorotate dehydrogenase"
"YHR042W","M","NCP1 NADPH-cytochrome P450 reductase"
"YDR236C","U","FMN1 Riboflavin kinase"
"YNR039C","A","ZRG17 weak similarity to Anopheles mitochondrial NADH dehydrogenase subunit 2"
"YEL058W","M","PCM1 phosphoacetylglucosamine mutase"
"YGR134W","U","CAF130 hypothetical protein"
"YER074W","P","RPS24A 40s small subunit ribosomal protein S24.e"
"YNL005C","P","MRP7 ribosomal protein YmL2 precursor, mitochondrial"
"YJR010W","G","MET3 sulfate adenylyltransferase"
"YPR074C","G","TKL1 transketolase 1"
"YBR119W","T","MUD1 U1 snRNP-specific A protein"
"YER091C","G","MET6 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase"
"YIL109C","O","SEC24 component of COPII coat of ER-Golgi vesicles"
"YML023C","U","YML023c weak similarity to NMD2P"
"YLR289W","P","GUF1 strong similarity to E. coli elongation factor-type GTP-binding protein lepa"
"YBR115C","G","LYS2 L-aminoadipate-semialdehyde dehydrogenase, large subunit"
"YJR047C","P","ANB1 translation initiation factor eIF5A.2"
"YMR310C","U","YMR310c similarity to YGR283c"
"YML106W","M","URA5 orotate phosphoribosyltransferase"
"YIL132C","U","CSM2 hypothetical protein"
"YGL166W","B","CUP2 copper-dependent transcription factor"
"YGL053W","U","PRM8 strong similarity to hypothetical proteins YAR031w, YGL051w, YAR028w, YAR033w and YCR007c"
"YER157W","O","SEC34 required for vesicle tethering to the yeast Golgi apparatus"
"YGL119W","F","ABC1 ubiquinol--cytochrome-c reductase complex assembly protein"
"YJR002W","T","MPP10 component of the U3 small nucleolar ribonucleoprotein"
"YOR327C","O","SNC2 synaptobrevin (v-SNARE) homolog present on post-Golgi vesicles"
"YML034W","U","SRC1 similarity to YDR458c"
"YBR117C","G","TKL2 transketolase 2"
"YML057W","C","CMP2 calcineurin B, catalytic subunit"
"YBL076C","P","ILS1 isoleucyl-tRNA synthetase"
"YIL069C","P","RPS24B 40S small subunit ribosomal protein S24.e"
"YDR050C","E","TPI1 triose-phosphate isomerase"
"YKL150W","E","MCR1 cytochrome-b5 reductase"
"YMR271C","M","URA10 orotate phosphoribosyltransferase2"
"YGL037C","U","PNC1 similarity to PIR:B70386 pyrazinamidase/nicotinamidase - Aquifex aeolicus"
"YPR048W","E","TAH18 similarity to M.domestica NADPH--ferrihemoprotein reductase and mammalian nitric-oxide synthases"
"YFR017C","U","YFR017c hypothetical protein"
"YGR071C","U","YGR071c similarity to hypothetical protein YLR373c"
"YKL061W","U","YKL061w hypothetical protein"
"YDR479C","U","YDR479c weak similarity to YHR150w"
"YJL086C","U","YJL086c questionable ORF"
"YDL055C","M","PSA1 mannose-1-phosphate guanyltransferase"
"YBR252W","M","DUT1 dUTP pyrophosphatase precursor"
"YHR208W","G","BAT1 branched chain amino acid aminotransferase, mitochondrial"
"YNL232W","M","CSL4 core component of the 3'-5' exosome"
"YPL109C","U","YPL109c similarity to aminoglycoside acetyltransferase regulator from P. stuartii"
"YGR188C","D","BUB1 ser/thr protein kinase"
"YMR074C","U","YMR074c strong similarity to hypothetical S. pombe protein"
"YMR294W","D","JNM1 mitosis protein, involved in nuclear migration"
"YKL211C","G","TRP3 anthranilate synthase component II"
"YDL238C","U","YDL238c similarity to E.coli hypothetical protein and to chlorohydrolases"
"YGL030W","P","RPL30 60S large subunit ribosomal protein L30.e"
"YBR281C","U","YBR281c similarity to hypothetical protein YFR044c"
"YGL151W","B","NUT1 negative transcription regulator from artifical reporters"
"YML054C","E","CYB2 lactate dehydrogenase cytochrome b2"
"YGR207C","E","ETF-BETA electron-transferring flavoprotein, beta chain"
"YNL301C","P","RPL18B 60S large subunit ribosomal protein L18.e"
"YLR167W","P","RPS31 ubiquitin/40S small subunit ribosomal protein"
"YLR328W","U","YLR328w strong similarity to YGR010w"
"YNL123W","U","YNL123w weak similarity to C.jejuni serine protease"
"YGL175C","D","SAE2 meiotic recombination protein"
"YPR107C","T","YTH1 protein of the 3' processing complex"
"YIL147C","C","SLN1 two-component signal transducer"
"YCR095C","U","YCR095c similarity to Saccharomyces kluyveri strain NRRL Y-12651"
"YIL043C","E","CBR1 cytochrome-b5 reductase"
"YGR283C","U","YGR283c similarity to hypothetical protein YMR310c"
"YNL092W","U","YNL092w similarity to hypothetical C. elegans proteins Y48E1C.2 and Y48E1C.c"
"YCR081W","T","SRB8 DNA-directed RNA polymerase II holoenzyme and Srb10 CDK subcomplex subunit"
"YDR322W","P","MRPL35 ribosomal protein YmL35 of the large subunit, mitochondrial"
"YPL151C","U","PRP46 strong similarity to A.thaliana PRL1 and PRL2 proteins"
"YOR093C","U","YOR093c similarity to S.pombe hypothetical protein SPAC22F3.04"
"YGL125W","G","MET13 putative methylene tetrahydrofolate reductase"
"YPL082C","B","MOT1 transcriptional accessory protein"
"YDL075W","P","RPL31A 60S large subunit ribosomal protein L31.e"
"YBR222C","M","FAT2 AMP-binding protein, peroxisomal"
"YMR068W","U","YMR068w weak similarity to mouse transcription factor NF-kappaB"
"YMR278W","M","YMR278w similarity to phosphomannomutases"
"YLR209C","M","PNP1 strong similarity to purine-nucleoside phosphorylases"
"YDL165W","B","CDC36 transcription factor"
"YML037C","U","YML037c hypothetical protein"
"YNL334C","R","SNO2 strong similarity to hypothetical proteins YFL060c and YMR095c"
"YPR070W","T","MED1 component of RNA polymerase II holoenzyme and mediator subcomplex"
"YNR010W","T","CSE2 subunit of RNA polymerase II mediator complex"
"YDR145W","B","TAF61 TFIID and SAGA subunit"
"YLR298C","T","YHC1 associated with the U1 snRNP complex"
"YNL251C","T","NRD1 involved in regulation of nuclear pre-mRNA abundance"
"YLR142W","G","PUT1 proline oxidase"
"YER096W","C","SHC1 sporulation specific protein"
"YPL070W","U","YPL070w weak similarity to VPS9P"
"YGL254W","B","FZF1 sulfite resistance protein"
"YBR061C","B","YBR061c similarity to E.coli ftsJ protein"
"YOR076C","M","SKI7 GTPase with function in 3'-to-5' degradation of mRNA"
"YMR240C","T","CUS1 U2 snRNP protein"
"YNR068C","U","YNR068c similarity to BUL1P"
"YER110C","O","KAP123 RAN-binding protein"
"YMR048W","U","CSM3 weak similarity to unnamed ORF;  Homo sapiens cDNA"
"YIR027C","M","DAL1 allantoinase"
"YPR178W","T","PRP4 U4/U6 snRNP 52 KD protein"
"YDR272W","M","GLO2 glyoxalase II (hydroxyacylglutathione hydrolase)"
"YCR003W","P","MRPL32 ribosomal protein YmL32, mitochondrial"
"YKL043W","B","PHD1 transcription factor"
"YDL052C","M","SLC1 fatty acyltransferase"
"YBR018C","M","GAL7 UDP-glucose--hexose-1-phosphate uridylyltransferase"
"YNL241C","E","ZWF1 glucose-6-phosphate dehydrogenase"
"YOR241W","M","MET7 tetrahydrofolylpolyglutamate synthase"
"YJL019W","U","YJL019w weak similarity to hypothetical protein C. elegans"
"YHR058C","B","MED6 RNA polymerase II transcriptional regulation mediator"
"YHR171W","C","APG7 component of the autophagic system"
"YCR076C","U","YCR076c weak similarity to latent transforming growth factor beta binding protein 3'  H. sapiens"
"YPL252C","U","YAH1 similarity to adrenodoxin and ferrodoxin"
"YKR083C","U","DAD2 weak similarity to S.japonicum paramyosin"
"YPL149W","F","APG5 involved in autophagy and nutrient starvation"
"YIL154C","M","(IMP2) sugar utilization regulatory protein"
"YLR125W","U","YLR125w hypothetical protein"
"YLR030W","U","YLR030w hypothetical protein"
"YLR035C","D","MLH2 similarity to human mutL protein homolog, mouse PMS2, MLH1P and PMS1P"
"YOR037W","O","CYC2 cytochrome-c mitochondrial import factor"
"YGL136C","U","YGL136c weak similarity to E.coli ftsJ protein"
"YOR133W","P","EFT1 translation elongation factor eEF2"
"YDR196C","U","YDR196c similarity to C.elegans hypothetical protein T05G5.5"
"YOR040W","M","GLO4 glyoxalase II (hydroxyacylglutathione hydrolase)"
"YPR144C","U","YPR144c similarity to YDR060w and C.elegans hypothetical protein"
"YLR182W","B","SWI6 transcription factor"
"YDR009W","B","GAL3 galactokinase"
"YNL044W","O","YIP3 protein of unknown function"
"YDL150W","T","RPC53 DNA-directed RNA polymerase III, 47 KD subunit"
"YGR066C","U","YGR066c similarity to hypothetical protein YBR105c"
"YML059C","U","YML059c similarity to C.elegans ZK370.4 protein"
"YOR059C","U","YOR059c weak similarity to YGL144c"
"YGR231C","D","PHB2 Prohibitin"
"YMR288W","T","HSH155 component of a multiprotein splicing factor"
"YLR022C","U","YLR022c similarity to C.elegans and M.jannaschii hypothetical proteins"
"YDL205C","M","HEM3 porphobilinogen deaminase"
"YPL091W","R","GLR1 glutathione reductase (NADPH)"
"YDR235W","T","PRP42 U1 snRNP associated protein, required for pre-mRNA splicing"
"YDL218W","U","YDL218w weak similarity to hypothetical protein YNR061c"
"YNL263C","O","YIF1 SLH1P Interacting Factor"
"YOL135C","B","MED7 member of RNA Polymerase II transcriptional regulation mediator complex"
"YPR082C","D","DIB1 required for mitosis"
"YGL128C","R","YGL128c weak similarity to dnaJ proteins"
"YDL237W","U","YDL237w weak similarity to hypothetical protein, Streptomyces coelicolor"
"YBL068W","M","PRS4 ribose-phosphate pyrophosphokinase 3"
"YLR324W","U","YLR324w strong similarity to YGR004w"
"YFL001W","T","DEG1 pseudouridine synthase"
"YGR278W","U","YGR278w similarity to C.elegans LET-858"
"YLR180W","G","SAM1 S-adenosylmethionine synthetase 1"
"YMR113W","M","FOL3 dihydrofolate synthetase"
"YDR100W","U","YDR100w similarity to Dictyostelium development-specific membrane protein"
"YOR274W","T","MOD5 tRNA isopentenyltransferase"
"YJR069C","R","HAM1 controls 6-N-hydroxylaminopurine sensitivity and mutagenesis"
"YGL148W","G","ARO2 chorismate synthase"
"YBR213W","G","MET8 siroheme synthase"
"YOR243C","U","YOR243c similarity to M.jannaschii hypothetical protein MJ0588"
"YOL121C","P","RPS19A 40S small subunit ribosomal protein S19.e"
"YKR022C","U","YKR022c hypothetical protein"
"YGR104C","T","SRB5 DNA-directed RNA polymerase II holoenzyme and Kornberg's mediator (SRB) subcomplex subunit"
"YGR244C","E","LSC2 succinate-CoA ligase beta subunit"
"YGR285C",NA,NA
"YDR383C","U","YDR383c weak similarity to S.pombe paramyosin"
"YJR024C","U","YJR024c weak similarity to C.elegans Z49131_E ZC373.5 protein"
"YHR009C","U","YHR009c similarity to S.pombe hypothetical protein"
"YPL219W","M","PCL8 cyclin like protein interacting with PHO85P"
"YHR176W","M","FMO flavin-containing monooxygenase"
"YPR043W","P","RPL43A ribosomal protein L37a.e"
"YDR018C","U","YDR018c strong similarity to hypothetical protein YBR042c"
"YDR113C","D","PDS1 cell cycle regulator"
"YGR024C","U","YGR024c weak similarity to Methanobacterium thermoautotrophicum hypothetical protein MTH972"
"YKL040C","M","NFU1 iron homeostasis"
"YNL072W","M","RNH35 RNase H(35), a 35 kDa ribonuclease H"
"YIR042C","U","YIR042c weak similarity to B.licheniformi hypothetical protein P20"
"YGL062W","E","PYC1 pyruvate carboxylase 1"
"YGR113W","D","DAM1 essential mitotic spindle pole protein"
"YDR318W",NA,NA
"YCL064C","G","CHA1 L-serine/L-threonine deaminase"
"YLR357W","D","RSC2 member of RSC complex, which remodels the structure of chromatin"
"YDL224C","C","WHI4 strong similarity to WHI3 protein"
"YFR008W","U","YFR008w weak similarity to human centromere protein E"
"YML094W","F","GIM5 Gim complex component"
"YLR439W","P","MRPL4 ribosomal protein, mitochondrial"
"YDR527W","U","YDR527w weak similarity to Plasmodium yoelii rhoptry protein"
"YGR274C","T","TAF145 TFIID subunit (TBP-associated factor), 145 kD"
"YER118C","R","SHO1 involved in the HOG1 high-osmolarity signal transduction pathway"
"YER050C","P","RSM18 component of the mitochondrial ribosomal small subunit"
"YDR538W","R","PAD1 phenylacrylic acid decarboxylase"
"YDL148C","P","NOP14 nuclear and nucleolar protein with possible role in ribosome biogenesis"
"YKR038C","F","YKR038c similarity to QRI7P"
"YDL104C","F","QRI7 similarity to H.influenzae sialoglycoprotease (gcp)"
"YLR342W","M","FKS1 1,3-beta-D-glucan synthase, catalytic subunit"
"YEL021W","M","URA3 orotidine-5'-phosphate decarboxylase"
"YDL043C","T","PRP11 pre-mRNA splicing factor"
"YPL114W","U","YPL114w questionable ORF"
"YJL189W","P","RPL39 60S large subunit ribosomal protein L39.e"
"YGL181W","B","GTS1 transcription factor of the GCS1P/GLO3P/SPS18P family"
"YGL018C","F","JAC1 molecular chaperone"
"YER168C","T","CCA1 tRNA nucleotidyltransferase"
"YPR131C","F","NAT3 N-acetyltransferases"
"YGL063W","T","PUS2 pseudouridine synthase 2"
"YAL046C","U","YAL046c weak similarity to hypothetical protein S. pombe"
"YKR092C","T","SRP40 suppressor of mutant AC40 of RNA polymerase I and III"
"YFR050C","F","PRE4 20S proteasome subunit(beta7)"
"YGR132C","D","PHB1 prohibitin, antiproliferative protein"
"YMR287C","T","MSU1 3'-5' exonuclease for RNA 3' ss-tail, mitochondrial"
"YGL133W","B","ITC1 subunit of ISW2 chromatin remodelling complex"
"YNL082W","D","PMS1 DNA mismatch repair protein"
"YDR443C","T","SSN2 DNA-directed RNA polymerase II holoenzyme and Srb10 CDK subcomplex subunit"
"YPL059W","R","GRX5 member of the subfamily of yeast glutaredoxins (Grx3, GRX4, and Grx5)"
"YDR462W","P","MRPL28 ribosomal protein of the large subunit (YmL28), mitochondrial"
"YPL212C","T","PUS1 pseudouridine synthase 1"
"YPR086W","T","SUA7 TFIIB subunit (transcription initiation factor), factor E"
"YPR101W","T","SNT309 splicing factor"
"YPL011C","T","TAF47 component of the TBP-associated protein complex"
"YKR087C","U","YKR087c similarity to hypothetical Myxococcus xanthus protein"
"YER087W","P","YER087w similarity to E.coli prolyl-tRNA synthetase"
"YDR105C","U","YDR105c similarity to mouse hypothetical protein"
"YMR178W","U","YMR178w similarity to C.elegans hypothetical protein"
"YPL148C","F","PPT2 phosphopantetheine protein transferase"
"YIL144W",NA,NA
"YNL244C","P","SUI1 translation initiation factor 3 (eIF3)"
"YDR533C","U","YDR533c strong similarity to hypothetical proteins YPL280w, YOR391c and YMR322c"
"YDR189W","O","SLY1 hydrophilic suppressor of YPT1 and member of the SEC1P family"
"YFR013W",NA,NA
